user_id,age,location_type,state,mobile_txn_count_6m,avg_txn_amount,txn_regularity_score,utility_consistency,has_electricity_payment,education_level,skills_completed,savings_rate_proxy,app_engagement_score,is_smallholder,farm_size_proxy,yield_risk_score,creditworthy_label,true_risk_score
AFRI_000000,24,Semi-Urban,Ibadan,290,33342.0,0.55,0.75,0,0,3,0.114,0.632,0,0.0,0.5,0,483
AFRI_000001,41,Rural,Lagos,201,44661.0,1.0,1.0,0,0,2,0.098,0.77,0,0.0,0.5,0,363
AFRI_000002,32,Semi-Urban,Lagos,383,23869.0,0.652,0.704,1,1,6,0.02,0.923,0,0.0,0.5,1,501
AFRI_000003,29,Semi-Urban,Ibadan,54,41055.0,0.898,0.411,1,2,9,0.165,0.723,0,0.0,0.5,0,566
AFRI_000004,27,Rural,Enugu,289,33136.0,0.884,0.276,1,3,4,0.043,0.573,1,3.2,0.536,0,580
AFRI_000005,18,Urban,Abuja,28,35093.0,0.681,0.808,1,2,4,0.327,0.75,0,0.0,0.5,0,388
AFRI_000006,40,Urban,Abuja,225,30468.0,0.73,0.334,1,1,2,0.297,0.779,0,0.0,0.5,1,448
AFRI_000007,26,Semi-Urban,Abuja,365,2606.0,1.0,0.368,1,3,6,0.345,0.876,0,0.0,0.5,1,811
AFRI_000008,19,Semi-Urban,Ibadan,81,29053.0,0.898,0.737,0,3,10,0.258,0.563,0,0.0,0.5,1,635
AFRI_000009,18,Urban,Lagos,140,37084.0,0.704,0.2,0,0,3,0.261,0.583,0,0.0,0.5,0,367
AFRI_000010,37,Urban,Ibadan,61,12239.0,0.487,0.919,0,3,10,0.341,0.721,0,0.0,0.5,1,522
AFRI_000011,19,Semi-Urban,Ibadan,237,44376.0,0.804,0.849,1,1,5,0.082,0.977,0,0.0,0.5,0,607
AFRI_000012,33,Semi-Urban,Port Harcourt,220,15454.0,1.0,1.0,0,2,2,0.325,0.573,0,0.0,0.5,1,612
AFRI_000013,24,Rural,Lagos,148,30893.0,0.861,0.496,1,2,6,0.301,0.908,0,0.0,0.5,1,396
AFRI_000014,33,Rural,Port Harcourt,56,39895.0,0.783,0.548,1,2,3,0.118,0.758,1,1.1,0.537,0,371
AFRI_000015,35,Urban,Kano,203,31597.0,0.536,0.824,1,1,4,0.164,0.499,0,0.0,0.5,1,549
AFRI_000016,18,Semi-Urban,Lagos,390,29180.0,0.847,0.35,1,1,7,0.365,0.812,0,0.0,0.5,1,611
AFRI_000017,18,Urban,Lagos,336,23215.0,1.0,0.767,0,3,4,0.259,0.806,0,0.0,0.5,1,729
AFRI_000018,31,Rural,Lagos,118,44144.0,0.711,0.575,0,1,2,0.246,0.473,1,5.7,0.229,0,415
AFRI_000019,19,Urban,Abuja,123,31820.0,0.544,0.469,1,2,2,0.386,0.835,0,0.0,0.5,0,335
AFRI_000020,25,Semi-Urban,Abuja,419,3708.0,0.839,0.337,1,1,9,0.46,0.37,0,0.0,0.5,1,586
AFRI_000021,37,Urban,Port Harcourt,280,17168.0,0.764,0.694,1,1,4,0.091,0.94,0,0.0,0.5,1,514
AFRI_000022,20,Semi-Urban,Port Harcourt,327,7274.0,0.518,0.656,1,2,9,0.162,0.806,0,0.0,0.5,1,495
AFRI_000023,18,Urban,Lagos,115,25391.0,0.69,0.888,1,3,6,0.372,0.56,0,0.0,0.5,1,469
AFRI_000024,39,Urban,Port Harcourt,229,3501.0,0.791,0.628,0,1,6,0.445,0.619,0,0.0,0.5,0,509
AFRI_000025,39,Semi-Urban,Abuja,299,12849.0,0.775,1.0,1,2,6,0.23,0.933,0,0.0,0.5,1,723
AFRI_000026,18,Semi-Urban,Ibadan,198,37198.0,1.0,0.93,1,1,11,0.274,0.763,0,0.0,0.5,1,618
AFRI_000027,43,Semi-Urban,Ibadan,124,13761.0,0.661,0.759,1,3,3,0.137,0.795,0,0.0,0.5,0,335
AFRI_000028,41,Rural,Ibadan,186,33327.0,1.0,0.599,1,3,4,0.154,0.855,1,2.3,0.172,1,409
AFRI_000029,37,Rural,Port Harcourt,196,5849.0,0.676,0.896,1,2,3,0.449,0.912,0,0.0,0.5,0,475
AFRI_000030,44,Urban,Kano,62,35934.0,0.624,0.678,1,1,6,0.438,0.787,0,0.0,0.5,0,446
AFRI_000031,23,Urban,Abuja,160,11182.0,0.91,0.629,0,2,5,0.359,0.619,0,0.0,0.5,0,654
AFRI_000032,36,Semi-Urban,Kano,191,32171.0,0.607,0.422,1,1,1,0.138,0.701,0,0.0,0.5,0,463
AFRI_000033,30,Urban,Port Harcourt,210,22281.0,0.76,0.494,1,2,4,0.2,0.764,0,0.0,0.5,0,529
AFRI_000034,32,Semi-Urban,Enugu,33,14310.0,1.0,0.526,1,3,7,0.115,0.665,0,0.0,0.5,0,468
AFRI_000035,21,Semi-Urban,Other,205,11479.0,0.606,0.386,1,1,0,0.143,0.406,0,0.0,0.5,0,438
